Movie Titles , Rating , Number of Ratings 
Chicken Run (2000),100%,171
The Taste of Others (Le goût des autres) (2000),97%,59
Yi Yi (2000),93%,86
Memento (2000),93%,180
Traffic (2000),97%,162
The Life and Times of Hank Greenberg (2000),95%,65
You Can Count On Me (2000),94%,105
Best in Show (2000),96%,114
Croupier (2000),96%,57
Not One Less (2000),91%,45
High Fidelity (2000),94%,165
Dark Days (2000),95%,69
The Filth and the Fury (2000),89%,40
Almost Famous (2000),89%,169
Cast Away (2000),91%,157
Panic (2000),90%,56
The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre) (2000),87%,77
Sexy Beast (2000),90%,135
Aimée & Jaguar (2000),88%,48
Girlfight (2000),90%,96
Wattstax (2000),88%,40
Exorcist: The Version You've Never Seen (2000),86%,82
State and Main (2000),85%,116
The Emperor's New Groove (2000),84%,131
Meet the Parents (2000),84%,148
Erin Brockovich (2000),88%,147
Battle Royale (2000),85%,48
Billy Elliot (2000),87%,118
Nico and Dani (Krámpack) (2000),82%,54
X-Men (2000),83%,173
Nurse Betty (2000),83%,131
Thirteen Days (2000),86%,124
Chunhyangdyun (2000),82%,42
Shadow of the Vampire (2000),84%,138
Chuck & Buck (2000),83%,88
The Original Kings of Comedy (2000),85%,103
Merci pour le chocolat (2000),82%,53
Wonder Boys (2000),83%,125
Ghost Dog - The Way of the Samurai (2000),83%,99
Love and Basketball (2000),84%,94
George Washington (2000),82%,63
The House of Mirth (2000),81%,99
Pollock (2000),77%,108
Gladiator (2000),83%,199
Lakeboat (2000),79%,42
Requiem for a Dream (2000),79%,138
Shanghai Noon (2000),81%,134
Fantasia 2000 (2000),81%,85
The Vertical Ray of the Sun (Mua he chieu thang dung) (2000),77%,58
O Brother Where Art Thou? (2000),78%,151
Space Cowboys (2000),80%,119
The Tao of Steve (2000),76%,49
The Contender (2000),77%,130
The Virgin Suicides (2000),75%,100
Quills (2000),78%,126
Keep the River on Your Right (2000),74%,51
Finding Forrester (2000),76%,127
Rugrats in Paris - The Movie (2000),77%,74
Tigerland (2000),73%,47
Remember the Titans (2000),70%,135
Unbreakable (2000),75%,173
Code Unknown (Code inconnu: Récit incomplet de divers voyages) (2000),74%,51
Sunshine (2000),73%,65
My Dog Skip (2000),73%,82
The Big Kahuna (2000),69%,79
American Psycho (2000),70%,150
Frequency (2000),68%,125
Charlie's Angels (2000),69%,146
Dancer in the Dark (2000),69%,121
Keeping the Faith (2000),71%,118
Gangster No. 1 (2000),71%,52
Shadow Magic (2000),68%,49
U-571 (2000),70%,115
Grateful Dawg (2000),68%,43
Timecode (2000),66%,81
Shaft (2000),68%,116
About Adam (2000),66%,57
Boiler Room (2000),66%,101
Small Time Crooks (2000),64%,100
Dinosaur (2000),64%,123
The Yards (2000),63%,97
Bring It On (2000),64%,120
Anywhere but Here (2000),62%,89
The Patriot (2000),62%,136
Chocolat (2000),63%,117
Saving Grace (2000),63%,89
Der Krieger und die Kaiserin (The Princess and the Warrior) (2000),62%,83
Return to Me (2000),63%,99
Wonderland (2000),62%,70
The Claim (2000),62%,85
The Tigger Movie (2000),60%,74
Pitch Black (2000),57%,112
Mission: Impossible 2 (2000),61%,151
Kikujiro (2000),59%,51
Hamlet (2000),61%,93
Alice et Martin (2000),57%,44
The Gift (2000),58%,122
Road Trip (2000),57%,92
Dr. T and the Women (2000),57%,109
Godzilla 2000 (2000),99%,69
